date,num
2014-11-24T17:54:14.796Z,0
2014-11-24T17:54:24.812Z,0
2014-11-24T17:54:34.901Z,0
2014-11-24T17:54:44.911Z,0
2014-11-24T17:54:54.920Z,0
2014-11-24T17:55:04.928Z,0
2014-11-24T17:55:14.962Z,0
2014-11-24T17:55:24.974Z,0
2014-11-24T17:55:35.077Z,0
2014-11-24T17:55:45.122Z,1
2014-11-24T17:55:55.132Z,0
2014-11-24T17:56:05.141Z,0
2014-11-24T17:56:15.171Z,0
2014-11-24T17:56:25.179Z,0
2014-11-24T17:56:35.187Z,0
2014-11-24T17:56:45.195Z,1
2014-11-24T17:56:55.203Z,0
2014-11-24T17:57:05.211Z,0
2014-11-24T17:57:15.219Z,0
2014-11-24T17:57:25.228Z,0
2014-11-24T17:57:35.238Z,0
2014-11-24T17:57:45.247Z,0
2014-11-24T17:57:55.350Z,0
2014-11-24T17:58:05.359Z,0
2014-11-24T17:58:15.366Z,1
2014-11-24T17:58:25.375Z,0
2014-11-24T17:58:35.383Z,1
2014-11-24T17:58:45.391Z,0
2014-11-24T17:58:55.400Z,0
2014-11-24T17:59:05.406Z,1
2014-11-24T17:59:15.419Z,0
2014-11-24T17:59:25.428Z,0
2014-11-24T17:59:35.435Z,0
2014-11-24T17:59:45.441Z,0
2014-11-24T17:59:55.449Z,0
2014-11-24T18:00:05.457Z,0
2014-11-24T18:00:15.588Z,0
2014-11-24T18:00:25.596Z,0
2014-11-24T18:00:35.605Z,0
2014-11-24T18:00:45.612Z,1
2014-11-24T18:00:55.621Z,0
2014-11-24T18:01:05.660Z,0
2014-11-24T18:01:15.671Z,0
2014-11-24T18:01:25.679Z,0
2014-11-24T18:01:35.695Z,0
2014-11-24T18:01:45.703Z,0
2014-11-24T18:01:55.712Z,0
2014-11-24T18:02:05.721Z,0
2014-11-24T18:02:15.888Z,0
2014-11-24T18:02:25.897Z,0
2014-11-24T18:02:35.905Z,0
2014-11-24T18:02:45.914Z,0
2014-11-24T18:02:55.920Z,0
2014-11-24T18:03:05.928Z,0
2014-11-24T18:03:15.938Z,0
2014-11-24T18:03:25.947Z,0
2014-11-24T18:03:35.955Z,1
2014-11-24T18:03:45.962Z,1
2014-11-24T18:03:55.969Z,1
2014-11-24T18:04:05.978Z,0
2014-11-24T18:04:15.987Z,0
2014-11-24T18:04:25.995Z,0
2014-11-24T18:04:36.005Z,0
2014-11-24T18:04:46.013Z,0
2014-11-24T18:04:56.021Z,0
2014-11-24T18:05:06.031Z,0
2014-11-24T18:05:16.041Z,0
2014-11-24T18:05:26.049Z,0
2014-11-24T18:05:36.055Z,1
2014-11-24T18:05:46.061Z,0
2014-11-24T18:05:56.068Z,0
2014-11-24T18:06:06.076Z,0
2014-11-24T18:06:16.102Z,0
2014-11-24T18:06:26.110Z,0
2014-11-24T18:06:36.117Z,1
2014-11-24T18:06:46.124Z,0
2014-11-24T18:06:56.132Z,0
2014-11-24T18:07:06.140Z,0
2014-11-24T18:07:16.151Z,0
2014-11-24T18:07:26.160Z,0
2014-11-24T18:07:36.171Z,0
2014-11-24T18:07:46.180Z,0
2014-11-24T18:07:56.189Z,0
2014-11-24T18:08:06.199Z,0
2014-11-24T18:08:16.208Z,0
2014-11-24T18:08:26.333Z,0
2014-11-24T18:08:36.342Z,1
2014-11-24T18:08:46.351Z,0
2014-11-24T18:08:56.436Z,0
2014-11-24T18:09:06.444Z,0
2014-11-24T18:09:16.452Z,0
2014-11-24T18:09:26.461Z,0
2014-11-24T18:09:36.471Z,0
2014-11-24T18:09:46.481Z,0
2014-11-24T18:09:56.490Z,0
2014-11-24T18:10:06.500Z,0
2014-11-24T18:10:16.508Z,0
2014-11-24T18:10:26.516Z,0
2014-11-24T18:10:36.524Z,0
2014-11-24T18:10:46.533Z,0
2014-11-24T18:10:56.540Z,1
2014-11-24T18:11:06.549Z,0
2014-11-24T18:11:16.557Z,0
2014-11-24T18:11:26.565Z,0
2014-11-24T18:11:36.575Z,0
2014-11-24T18:11:46.583Z,0
2014-11-24T18:11:56.593Z,0
2014-11-24T18:12:06.601Z,0
2014-11-24T18:12:16.610Z,0
2014-11-24T18:12:26.618Z,0
2014-11-24T18:12:36.626Z,0
2014-11-24T18:12:46.635Z,0
